slno,order_receipt_date,so_delivery_date,mktg_specialistsmanagers,type_of_order,product_,qty,opp_id,ion_number,work_order_number,ion_meeting__date_planned,ion_meeting__date_actual,ion_meeting_delay_days,bom_updated_along_with_drawings_planned_,bom_updated_along_with_drawings_actual,bom_delay_days,wo_release_date_planned,wo_release_date_actual,wo_release_delay_days,mrf_raised_planned,mrf_raised_actual,mrf_raised_delay_days,indent_raised_planned,indent_raised_actual,indent_raised_delay_days,purchase_end_date_planned,purchase_end_date_actual,purchase_delay_days,production_planned_date_planned,production_planned_date_actual,production_planned_delay_days,qa_clearance__planned,qa_clearance__actual,qa_clearance_delay_days,product_dispatch_date_planned,product_dispatch_date_actual,product_dispatch_delay_days,pdi_date_at_factory_planned,pdi_date_at_factory_actual,delivery_date_planned,delivery_date_actual,onsite_pdi_date_planned,onsite_pdi_date_actual,installation_date_planned,installation_date_actual,payment_received_planned,payment_received_actual,status,year,source_filename,rowuniqueid
109,12/09/2024,03/03/2025,Sairam,Sale/D,AweSim 4Lane (Punjab Police),1,NULL,NULL,NULL,12/10/2024,12/12/2024,2.0,12/12/2024,12/17/2024,4.0,12/13/2024,NULL,NULL,12/14/2024,NULL,NULL,16-12-2024_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,30-01-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,01-03-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,04-03-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,03/06/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Not Dispatched,NULL,Order to Dispatch_Final - 31 Dec-24_normalized1.xlsx,233
110,12/11/2024,02/18/2025,Sairam,Sale/D,81 mm Mortar (12 Dogra),1,NULL,NULL,WO/2024-2025/127,12/12/2024,12/12/2024,0.0,12/16/2024,12/19/2024,3.0,12/17/2024,12/20/2024,3.0,12/18/2024,NULL,NULL,12/20/2024,NULL,NULL,19-01-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,18-02-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,20-02-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,21-02-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Not Dispatched,NULL,Order to Dispatch_Final - 31 Dec-24_normalized1.xlsx,234
111,12/07/2024,04/06/2025,Ranjith,Sale/D,DATS (GRRC Lansdowne),2,NULL,NULL,WO/2024-2025/125,12/09/2024,12/12/2024,3.0,12/11/2024,12/16/2024,4.0,12/12/2024,12/18/2024,5.0,12/19/2024,12/23/2024,3.0,21-12-2024_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,12/23/2024,1.0,20-01-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,19-02-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,21-02-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,22-02-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Not Dispatched,NULL,Order to Dispatch_Final - 31 Dec-24_normalized1.xlsx,235
112,12/11/2024,03/11/2025,Ranjith,Sale/D,MFTS 10Lanes (Grey Hounds),1,NULL,NULL,NULL,12/12/2024,12/23/2024,9.0,12/16/2024,NULL,NULL,12/17/2024,NULL,NULL,12/18/2024,NULL,NULL,12/20/2024,NULL,NULL,18-02-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,20-03-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,22-03-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,23-03-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Not Dispatched,NULL,Order to Dispatch_Final - 31 Dec-24_normalized1.xlsx,236
113,12/11/2024,03/11/2025,Ranjith,Sale/D,STS 10Lanes (Grey Hounds),1,NULL,NULL,WO/2024-2025/134,12/12/2024,12/23/2024,9.0,12/16/2024,12/27/2024,10.0,12/17/2024,12/28/2024,10.0,12/18/2024,NULL,NULL,12/20/2024,NULL,NULL,20-03-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,19-04-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,21-04-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,22-04-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Not Dispatched,NULL,Order to Dispatch_Final - 31 Dec-24_normalized1.xlsx,237
114,12/18/2024,03/18/2025,BalaKrishna,Sale/D,"HE36 (Bihar Reg, Danapur)",1,NULL,NULL,WO/2024-2025/132,12/19/2024,12/23/2024,3.0,21-12-2024_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,12/27/2024,5.0,23-12-2024_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,12/28/2024,5.0,24-12-2024_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,12/27/2024,3.0,26-12-2024_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,12/28/2024,2.0,24-02-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,26-03-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,28-03-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,29-03-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Not Dispatched,NULL,Order to Dispatch_Final - 31 Dec-24_normalized1.xlsx,238
115,12/19/2024,06/17/2025,Ranjith,Sale/D,"STS 6Lanes (INS Drona,Cochi)",1,NULL,NULL,WO/2024-2025/135,12/20/2024,12/23/2024,2.0,23-12-2024_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,12/27/2024,4.0,24-12-2024_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,12/28/2024,4.0,26-12-2024_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,28-12-2024_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,28-03-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,27-04-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,29-04-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,30-04-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Not Dispatched,NULL,Order to Dispatch_Final - 31 Dec-24_normalized1.xlsx,239
116,12/20/2024,06/18/2025,Sairam,Sale/D,CISR (Ladak Scouts),1,NULL,NULL,NULL,12/23/2024,NULL,NULL,25-12-2024_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,26-12-2024_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,27-12-2024_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,30-12-2024_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,13-02-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,15-03-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,17-03-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,18-03-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Not Dispatched,NULL,Order to Dispatch_Final - 31 Dec-24_normalized1.xlsx,240
117,12/24/2024,06/22/2025,Sairam,Sale/D,CTSR (323 Medium Reg Centre),1,NULL,NULL,NULL,12/26/2024,12/31/2024,4.0,30-12-2024_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,31-12-2024_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,01-01-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,03-01-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,03-05-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,02-06-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,04-06-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,05-06-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Not Dispatched,NULL,Order to Dispatch_Final - 31 Dec-24_normalized1.xlsx,241
118,12/30/2024,04/27/2025,Sairam,Sale/D,DATS,2,NULL,NULL,NULL,12/31/2024,12/31/2024,0.0,02-01-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,03-01-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,04-01-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,06-01-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,05-02-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,07-03-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,09-03-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,10-03-2025_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Not Dispatched,NULL,Order to Dispatch_Final - 31 Dec-24_normalized1.xlsx,242
